 format: day,hour,value location:61_128 Start : 20191001 
 17, 0400, 39.000000 
 17, 0500, 38.000000 
 17, 0600, 39.000000 
 17, 0700, 41.000000 
 17, 0800, 52.000000 
 17, 0900, 59.000000 
 17, 1000, 63.000000 
 17, 1100, 66.000000 
 17, 1200, 70.000000 
 17, 1300, 72.000000 
 17, 1400, 77.000000 
 17, 1500, 78.000000 
 17, 1600, 77.000000 
 17, 1700, 80.000000 
 17, 1800, 82.000000 
 17, 1900, 83.000000 
 17, 2000, 82.000000 
 17, 2100, 77.000000 
 17, 2200, 72.000000 
 17, 2300, 64.000000 
 18, 0000, 60.000000 
 18, 0100, 56.000000 
 18, 0200, 52.000000 
 18, 0300, 52.000000 
 18, 0400, 53.000000 
 18, 0500, 55.000000 
 18, 0600, 56.000000 
 18, 0700, 58.000000 
 18, 0800, 59.000000 
 18, 0900, 59.000000 
 18, 1000, 64.000000 
 18, 1100, 71.000000 
 18, 1200, 74.000000 
 18, 1300, 74.000000 
 18, 1400, 77.000000 
 18, 1500, 78.000000 
 18, 1600, 82.000000 
 18, 1700, 85.000000 
 18, 1800, 86.000000 
 18, 1900, 85.000000 
 18, 2000, 85.000000 
 18, 2100, 86.000000 
 18, 2200, 79.000000 
 18, 2300, 67.000000 
 19, 0000, 61.000000 
 19, 0100, 53.000000 
 19, 0200, 53.000000 
 19, 0300, 50.000000 
 19, 0400, 50.000000 
 19, 0500, 48.000000 
 19, 0600, 49.000000 
 19, 0700, 52.000000 
 19, 0800, 64.000000 
 19, 0900, 74.000000 
 19, 1000, 77.000000 
 19, 1100, 77.000000 
 19, 1200, 81.000000 
 19, 1300, 86.000000 
 19, 1400, 88.000000 
 19, 1500, 90.000000 
 19, 1600, 92.000000 
 19, 1700, 93.000000 
 19, 1800, 94.000000 
 19, 1900, 95.000000 
 19, 2000, 96.000000 
 19, 2100, 95.000000 
 19, 2200, 94.000000 
 19, 2300, 88.000000 
 20, 0000, 83.000000 
 20, 0100, 77.000000 
 20, 0200, 72.000000 
 20, 0300, 65.000000 
 20, 0400, 56.000000 
 20, 0500, 53.000000 
 20, 0600, 55.000000 
 20, 0700, 60.000000 
 20, 0800, 66.000000 
 20, 0900, 57.000000 
 20, 1000, 68.000000 
 20, 1100, 69.000000 
 20, 1200, 78.000000 
 20, 1300, 81.000000 
 20, 1400, 84.000000 
 20, 1500, 85.000000 
 20, 1600, 86.000000 
 20, 1700, 88.000000 
 20, 1800, 90.000000 
 20, 1900, 90.000000 
 20, 2000, 92.000000 
 20, 2100, 90.000000 
 20, 2200, 84.000000 
 20, 2300, 74.000000 
 21, 0000, 65.000000 
 21, 0100, 53.000000 
 21, 0200, 47.000000 
 21, 0300, 43.000000 
 21, 0400, 42.000000 
 21, 0500, 41.000000 
 21, 0600, 43.000000 
 21, 0700, 54.000000 
 21, 0800, 58.000000 
 21, 0900, 62.000000 
 21, 1000, 65.000000 
 21, 1100, 68.000000 
 21, 1200, 71.000000 
 21, 1300, 74.000000 
 21, 1400, 79.000000 
 21, 1500, 82.000000 
 21, 1600, 85.000000 
 21, 1700, 84.000000 
 21, 1800, 86.000000 
 21, 1900, 84.000000 
 21, 2000, 82.000000 
 21, 2100, 87.000000 
 21, 2200, 83.000000 
 21, 2300, 72.000000 
 22, 0000, 64.000000 
 22, 0100, 56.000000 
 22, 0200, 53.000000 
 22, 0300, 52.000000 
 22, 0400, 48.000000 
 22, 0500, 48.000000 
 22, 0600, 48.000000 
 22, 0700, 51.000000 
 22, 0800, 61.000000 
 22, 0900, 62.000000 
 22, 1000, -1.000000 
 22, 1100, 68.000000 
 22, 1200, 73.000000 
 22, 1300, 75.000000 
 22, 1400, 78.000000 
 22, 1500, 81.000000 
 22, 1600, 83.000000 
 22, 1700, 84.000000 
 22, 1800, 82.000000 
 22, 1900, 80.000000 
 22, 2000, 77.000000 
 22, 2100, 76.000000 
 22, 2200, 71.000000 
 22, 2300, 67.000000 
 23, 0000, 57.000000 
 23, 0100, 55.000000 
 23, 0200, 55.000000 
 23, 0300, 52.000000 
