 format: day,hour,value location:61_128 Start : 20191001 
 20, 1500, 360.000000 
 20, 1600, 337.000000 
 20, 1700, 352.000000 
 20, 1800, 358.000000 
 20, 1900, 27.000000 
 20, 2000, 350.000000 
 20, 2100, 36.000000 
 20, 2200, 31.000000 
 20, 2300, 44.000000 
 21, 0000, 20.000000 
 21, 0100, 92.000000 
 21, 0200, 64.000000 
 21, 0300, 203.000000 
 21, 0400, 232.000000 
 21, 0500, 92.000000 
 21, 0600, 359.000000 
 21, 0700, 309.000000 
 21, 0800, 357.000000 
 21, 0900, 320.000000 
 21, 1000, 278.000000 
 21, 1100, 38.000000 
 21, 1200, 312.000000 
 21, 1300, 334.000000 
 21, 1400, 345.000000 
 21, 1500, 328.000000 
 21, 1600, 358.000000 
 21, 1700, 329.000000 
 21, 1800, 334.000000 
 21, 1900, 319.000000 
 21, 2000, 340.000000 
 21, 2100, 325.000000 
 21, 2200, 25.000000 
 21, 2300, 43.000000 
 22, 0000, 120.000000 
 22, 0100, 200.000000 
 22, 0200, 137.000000 
 22, 0300, 314.000000 
 22, 0400, 194.000000 
 22, 0500, 43.000000 
 22, 0600, 201.000000 
 22, 0700, 225.000000 
 22, 0800, 294.000000 
 22, 0900, 356.000000 
 22, 1000, -1.000000 
 22, 1100, 309.000000 
 22, 1200, 318.000000 
 22, 1300, 288.000000 
 22, 1400, 13.000000 
 22, 1500, 311.000000 
 22, 1600, 314.000000 
 22, 1700, 339.000000 
 22, 1800, 302.000000 
 22, 1900, 297.000000 
 22, 2000, 326.000000 
 22, 2100, 261.000000 
 22, 2200, 39.000000 
 22, 2300, 316.000000 
 23, 0000, 47.000000 
 23, 0100, 94.000000 
 23, 0200, 79.000000 
 23, 0300, 101.000000 
 23, 0400, 154.000000 
 23, 0500, 114.000000 
 23, 0600, 100.000000 
 23, 0700, 115.000000 
 23, 0800, 323.000000 
 23, 0900, 352.000000 
 23, 1000, 310.000000 
 23, 1100, 317.000000 
 23, 1200, 326.000000 
 23, 1300, 26.000000 
 23, 1400, 336.000000 
 23, 1500, 329.000000 
 23, 1600, 346.000000 
 23, 1700, 2.000000 
 23, 1800, 349.000000 
 23, 1900, 3.000000 
 23, 2000, 2.000000 
 23, 2100, 344.000000 
 23, 2200, 20.000000 
 23, 2300, 20.000000 
 24, 0000, 13.000000 
 24, 0100, 1.000000 
 24, 0200, 58.000000 
 24, 0300, 63.000000 
 24, 0400, 39.000000 
 24, 0500, 45.000000 
 24, 0600, 69.000000 
 24, 0700, 59.000000 
 24, 0800, 83.000000 
 24, 0900, 331.000000 
 24, 1000, 18.000000 
 24, 1100, 8.000000 
 24, 1200, 21.000000 
 24, 1300, 337.000000 
 24, 1400, 331.000000 
 24, 1500, 23.000000 
 24, 1600, 359.000000 
 24, 1700, 342.000000 
 24, 1800, 338.000000 
 24, 1900, 7.000000 
 24, 2000, 12.000000 
 24, 2100, 8.000000 
 24, 2200, 8.000000 
 24, 2300, 43.000000 
 25, 0000, 325.000000 
 25, 0100, 128.000000 
 25, 0200, 187.000000 
 25, 0300, 268.000000 
 25, 0400, 288.000000 
 25, 0500, 313.000000 
 25, 0600, 277.000000 
 25, 0700, 289.000000 
 25, 0800, 261.000000 
 25, 0900, 275.000000 
 25, 1000, 264.000000 
 25, 1100, 268.000000 
 25, 1200, 279.000000 
 25, 1300, 282.000000 
 25, 1400, 325.000000 
 25, 1500, 315.000000 
 25, 1600, 326.000000 
 25, 1700, 327.000000 
 25, 1800, 287.000000 
 25, 1900, 345.000000 
 25, 2000, 324.000000 
 25, 2100, 348.000000 
 25, 2200, 19.000000 
 25, 2300, 2.000000 
 26, 0000, 334.000000 
 26, 0100, 204.000000 
 26, 0200, 46.000000 
 26, 0300, 139.000000 
 26, 0400, 287.000000 
 26, 0500, 289.000000 
 26, 0600, 288.000000 
 26, 0700, 311.000000 
 26, 0800, 270.000000 
 26, 0900, 285.000000 
 26, 1000, 3.000000 
 26, 1100, 300.000000 
 26, 1200, 303.000000 
 26, 1300, 309.000000 
 26, 1400, 358.000000 
 26, 1500, 313.000000 
 26, 1600, 352.000000 
 26, 1700, 320.000000 
 26, 1800, 333.000000 
 26, 1900, 352.000000 
 26, 2000, 312.000000 
 26, 2100, 323.000000 
 26, 2200, 3.000000 
 26, 2300, 151.000000 
 27, 0000, 126.000000 
 27, 0100, 38.000000 
 27, 0200, 92.000000 
 27, 0300, 319.000000 
 27, 0400, 316.000000 
 27, 0500, 266.000000 
 27, 0600, 256.000000 
 27, 0700, 290.000000 
 27, 0800, 275.000000 
 27, 0900, 3.000000 
 27, 1000, 344.000000 
 27, 1100, 315.000000 
 27, 1200, 317.000000 
 27, 1300, 317.000000 
 27, 1400, 316.000000 
 27, 1500, 352.000000 
 27, 1600, 351.000000 
 27, 1700, 320.000000 
 27, 1800, 330.000000 
 27, 1900, 329.000000 
 27, 2000, 282.000000 
 27, 2100, 115.000000 
 27, 2200, 66.000000 
 27, 2300, 145.000000 
 28, 0000, 282.000000 
 28, 0100, 164.000000 
 28, 0200, 147.000000 
 28, 0300, 212.000000 
 28, 0400, 201.000000 
 28, 0500, 229.000000 
 28, 0600, 209.000000 
 28, 0700, 192.000000 
 28, 0800, 209.000000 
 28, 0900, 207.000000 
 28, 1000, 203.000000 
 28, 1100, 212.000000 
 28, 1200, 239.000000 
 28, 1300, 289.000000 
 28, 1400, 278.000000 
